title,job_id,company,location,date,link,description,Education,Field of Expertise,Minimum Experience,Soft Skills,Technical Skills,Industry,Scope of Position,Job Type
Business Application Analyst,efa2ff88f0ba1b24,D-Fend Solutions,Raanana,"Posted
Just posted",https://il.indeed.com/viewjob?jk=efa2ff88f0ba1b24,"D-Fend Solutions values its employees as our greatest asset. Our professionals and subject matter experts, including personnel from elite military intelligence technology units, provide the best possible solutions to our leading customers around the world. We are proud of our impressive presence across different environments and industries, as well as the results we have helped our customers achieve in contending with their counter-drone challenges.

In addition to professional expertise, D-Fend Solutions seeks candidates who will thrive in a fast-moving, innovative and collaborative culture. It helps if you enjoy having fun – our “D-Fenders” are a light-hearted bunch who have stashed rubber ducks all around our headquarters.

Are you interested in working with the world’s leading cyber-takeover counter-drone technology provider?

Join D-Fend Solutions in helping to make the world a safer place by addressing emerging challenges in the dynamic and exciting counter-drone arena!

The Business Application Analyst will be responsible for supporting the configuration, maintenance, and enhancement of our Netsuite ERP system to meet the evolving needs of our organization.
This role will collaborate closely with internal stakeholders to understand the business requirements, translate them into technical solutions, and drive continuous improvement initiatives within the Netsuite environment
Key Responsibilities:
Collaborate with key stakeholders to gather, analyze, and document business requirements for Netsuite ERP system’s enhancements and customizations.
Configure Netsuite modules, workflows, and dashboards to support business processes and improve operational efficiency.
Serve as the primary point of contact for Netsuite end-users, providing training, support, and troubleshooting assistance, as needed.
Conduct ongoing system testing, validation, and quality assurance to ensure accuracy and reliability of Netsuite data and processes.
Follow Netsuite updates, releases, and best practices to identify opportunities for system optimization and enhancement.
Review and document system configurations, processes, and procedures to support knowledge sharing and ensure system integrity.
Qualifications:
Bachelor’s degree in Industrial Engineering and Management, Information Systems, or related field.
Minimum of 3 years of experience in Netsuite management, configuration, and support.
Strong understanding of Netsuite modules such as Inventory Management, Order Management and Financials.
Excellent analytical, problem-solving, and communication skills.
Ability to work independently and collaboratively in a fast-paced, dynamic environment.
Netsuite certification(s) preferred.",BSc,"Business Analysis, ERP, NetSuite, Inventory Management, Order Management, Financials",3 years,"Excellent analytical, problem-solving, and communication skills, Ability to work independently and collaboratively","Netsuite, Inventory Management, Order Management, Financials",technology,Full-time,in-office
Game Data Analyst,37fbaa8d1676bf08,MOONEE,Israel,"Posted
Posted 2 days ago",https://il.indeed.com/viewjob?jk=37fbaa8d1676bf08,"As a Game Data Analyst, you'll be diving deep into the Hybrid gameplay metrics, helping us understand our players, and playing a critical role in shaping our future and current titles. You'll work closely with the development studio, game design, and product teams to offer insights that can drive our games to new heights.

Responsibilities
Analyzing gameplay data to understand player behavior and identify areas of improvement.
Leveraging tools like BigQuery, Looker Studio, and Google services to extract, process, and visualize data.
Collaborating with design and product teams to refine game economy and balance.
Tracking and analyzing KPIs to suggest optimization strategies.
Providing actionable recommendations based on your analysis.
Deep game understanding behind data.

Qualifications
Proficiency in BigQuery and Looker Studio - a plus
Strong background in game analysis, particularly in Hybrid games- a plus
Technical knowledge of Unity - a plus
A minimum of 1-year experience in a similar role.
Experience with Python for data processing and analysis.
Deep understanding of statistical formulas and their application in the gaming context.
A solid foundation in the gaming industry and an understanding of current trends.",Other,"Data Analysis, Game Design, Game Development, Machine Learning, Statistics",1 year,"Communication, Teamwork","BigQuery, Looker Studio, Google services, Python, Unity","technology, media and entertainment",Full-time,in-office
Data Analyst,7712bc50313b655c,KLA,tower,"Posted
Posted 2 days ago",https://il.indeed.com/viewjob?jk=7712bc50313b655c,"Company Overview
KLA is a global leader in diversified electronics for the semiconductor manufacturing ecosystem. Virtually every electronic device in the world is produced using our technologies. No laptop, smartphone, wearable device, voice-controlled gadget, flexible screen, VR device or smart car would have made it into your hands without us. KLA invents systems and solutions for the manufacturing of wafers and reticles, integrated circuits, packaging, printed circuit boards and flat panel displays. The innovative ideas and devices that are advancing humanity all begin with inspiration, research and development. KLA focuses more than average on innovation and we invest 15% of sales back into R&D. Our expert teams of physicists, engineers, data scientists and problem-solvers work together with the world’s leading technology providers to accelerate the delivery of tomorrow’s electronic devices. Life here is exciting and our teams thrive on tackling really hard problems. There is never a dull moment with us.
Job Description
KLA is looking for a Data Analyst to join us!
The ideal candidate is data-oriented personality, capable of taking business needs and translating them into numbers, KPI's and metrics. You'll responsible for defining and analyze requirements and set the technological course for data-related initiatives. Consolidate data from different sources in order to find connections and trends, data validity issues. You will handle and support data collecting tool -from adding data to the DB to visualization in PBI.
You will work on different time zones with peers from various countries.
Minimum Qualifications
Proven working experience as a Data Analyst or Business Data Analyst (at least two years)
Technical expertise
regarding data models, database design
Strong mathematical skills to help collect, measure, organize and analyze data
Python knowledge (high level) - most of the analysis shall be done in Python, including data visualization
SQL knowledge
Strong
analytical skills
with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Proficiency in statistics and statistical packages
Power BI - advantage
Skills:
Problem-solving skills
Accuracy and attention to detail
Team-working skills
Verbal and Written communication skills
BSc degree or higher in exact sciences
We offer a competitive, family friendly total rewards package. We design our programs to reflect our commitment to an inclusive environment, while ensuring we provide benefits that meet the diverse needs of our employees.
KLA is proud to be an equal opportunity employer",BSc,"Data Analysis, Business Data Analysis, Data Modeling, Database Design, Python, SQL, Statistics, Power BI",2 years,"Problem-solving skills, Accuracy and attention to detail, Team-working skills, Verbal and Written communication skills","Python, SQL, Power BI, data models, database design, statistical packages",technology,Full-time,in-office
Staff Frontend Engineer - Singularity Data lake,17618e67616bdfee,SentinelOne,Tel Aviv Jaffa,"Posted
Posted 2 days ago",https://il.indeed.com/viewjob?jk=17618e67616bdfee,"About Us:
SentinelOne is defining the future of cybersecurity through our XDR platform that automatically prevents, detects, and responds to threats in real-time. Singularity XDR ingests data and leverages our patented AI models to deliver autonomous protection. With SentinelOne, organizations gain full transparency into everything happening across the network at machine speed – to defeat every attack, at every stage of the threat lifecycle.
We are a values-driven team where names are known, results are rewarded, and friendships are formed. Trust, accountability, relentlessness, ingenuity, and OneSentinel define the pillars of our collaborative and unified global culture. We're looking for people that will drive team success and collaboration across SentinelOne. If you're enthusiastic about innovative approaches to problem-solving, we would love to speak with you about joining our team!
What are we looking for?
We are continuously expanding the capabilities of SentinelOne, actively listening to customers and responding to their needs. We're looking for a Staff Software Engineer to join SentinelOne's Singularity Data Lake area. Singularity Data Lake, is a common foundation enabling seamless implementation of unified security analyst workflows and integration of SentinelOne ecosystem with 3rd-party security ecosystems via SentinelOne Marketplace.
The ideal candidate will be a self-motivated individual with a track record of delivering modern web applications with outstanding user experience and performance in B2B domain.
What will you do?
You will help us build the next-generation scalable web application using state of the art technologies.
You will be partnering with our product management to deliver and evolve several foundational software services which are part of SentinelOne's Singularity Data Lake.
You will drive design decisions to improve the product architecture and ensure the team's adherence to engineering best practices.
You will help identify areas for proactive improvement based on team findings.
You will be involved in the whole SW development process - from product discovery, through designing architecture, implementation and testing to delivery to production and subsequent monitoring.
What experience and knowledge should you bring?
Several years of hands-on experience with frontend web development
Proven experience with ReactJS and GraphQL
Understanding of Object Oriented programing methodologies
Proven experience with CSS
Excellent communication, interpersonal and problem solving skills
Ability to understand and implement complicated scenarios
You enjoy and understand how to create a superior user experience
It'd be great if you have experience with / or You'd learn & gain on our team:
Experience with implementing/connecting to REST APIs
Experience working with Jenkins
Backend development experience (we can utilize your/offer you a full-stack overlap with BE development in Java, Kotlin, or Go)

Why Us?
You will be joining a cutting-edge company where you will tackle extraordinary challenges and work with the very best in the industry.
Study Funds- SentinelOne contributes 7.5% over your base salary (no tax ceiling is applied), and employees contribute 2.5% of their base salary
Pension fund- SentinelOne contributes to your pension fund according to local law. Pension contribution may vary based on the selected plan.
RSUs- 4 years vesting with 1-year cliff and then quarterly.
Annual bonus (depending on the performance of the company) paid out in 2 cycles
Employee Stock Purchase Plan- The plan enables employees to purchase SentinelOne stocks at discounted prices vs. market value. (the plan is subject to local taxation)
Company time off and holidays
Private medical insurance
Meal allowance
Home office allowance
Hybrid work model- The possibility of working both from the office and working from home
Parental Leave - Embracing a new child into the family is a unique moment for everyone! In support of that, we offer 20 weeks of fully paid leave for the birth parent and 12 weeks of paid leave for the non-birth parent
Employee Assistance Program- Psychological sessions with certified therapists to help you overcome stress, personal and professional challenges
Free Parking in our office building
Music Room fully equipped room
Wellness- workout sessions and a wellness app

SentinelOne is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.
SentinelOne participates in the E-Verify Program for all U.S. based roles.",Other,"Software Engineering, Web Development, Frontend Development, ReactJS, GraphQL, CSS, REST APIs, Java, Kotlin, Go",3 years,"Excellent communication, interpersonal and problem solving skills","ReactJS, GraphQL, CSS, REST APIs, Jenkins, Java, Kotlin, Go",technology,Full-time,Hybrid
SRH Programme Associate,38edd0c36e928563,UNFPA,Jerusalem,"Posted
Posted 2 days ago",https://il.indeed.com/viewjob?jk=38edd0c36e928563,"The Position
The SRH Programme Associate (PA) will work under the supervision of SRH program analyst and in close cooperation with the UNFPA team based in Jerusalem and Gaza. He/she will support the planning, management, and monitoring of sexual and reproductive health component of UNFPA’s country programme. The Programme Associate will maintain operational relationships with various stakeholders, such as the Palestinian Authority, Civil Society and academic institutions.
The Programme Associate will apply established systems and procedures and assists in the creation of substantive knowledge by compiling, synthesizing and analyzing information relevant to reproductive health program implementation appropriate mechanisms and systems and ensuring compliance with established procedures.
1. How you can make a difference:
UNFPA is the lead UN agency for delivering a world where every pregnancy is wanted, every childbirth is safe and every young person's potential is fulfilled. UNFPA’s strategic plan (2022-2025), reaffirms the relevance of the current strategic direction of UNFPA and focuses on three transformative results: to end preventable maternal deaths; end unmet need for family planning; and end gender-based violence and harmful practices. These results capture our strategic commitments on accelerating progress towards realizing the ICPD and SDGs in the Decade of Action leading up to 2030. Our strategic plan calls upon UN Member States, organizations, and individuals to “build forward better”, while addressing the current humanitarian situation on women’s and girls’ access to sexual and reproductive health and reproductive rights, recover lost gains and realize our goals.
In a world where fundamental human rights are at risk, we need principled and ethical staff, who embody these international norms and standards, and who will defend them courageously and with full conviction.
UNFPA is seeking candidates that transform, inspire, and deliver high impact and sustained results; we need staff who are transparent, exceptional in how they manage the resources entrusted to them and who commit to deliver excellence in programme results.
2. Job Purpose
The SRH Associate will contribute to the achievement of SRH program goal and objectives as related to the country program document. He/She will be responsible to develop his/her own plan to monitor progress with partners and SRH stakeholders in the country and to convene meetings and technical discussions as needed.

3. You Will Be Responsible for:
Assist in the identification and formulation of the country programme and component projects (both development and humanitarian) related to sexual and reproductive health, by compiling and analyzing information in the subject areas of UNFPA assistance to the national Government and other stakeholders;
Drafts work plans and works with partners on regular reporting based on agreed on monitoring tools.
Contributes to monitoring and evaluation of SRH project and programme activities, establishing and implementing mechanisms to systematically assess the achievement of results, conducting field visits, participation in review meetings and evaluation missions and preparing regular inputs to status and progress reports including for humanitarian projects related to sexual and reproductive health;
Analyses basic factors affecting the achievement of results, recommends corrective actions and follow up on recommendations;
Maintains updated information on SRH commodity procurement and follows-up with relevant partners on FP supply, distribution, consumption pattern and stocks to avoid any shortfalls or stock-outs;
In coordination with national counterparts and project personnel, guides routine implementation of assigned projects, coordinating the delivery of projects inputs, ensuring participation of national counterparts in training activities and study tours;
Provides logistical support to projects by coordination of review meetings and other project related workshops and events;
Coordinates with operations on provision of training and supports project personnel and staff on national execution and programme policies and procedures;
Contributes to the creation and sharing of knowledge by synthesizing and documenting findings and lessons learned, success stories and best practices, strategies and approaches of the Country office and drafting relevant materials for dissemination;
Support the process of raising requisitions, follow up the process until final delivery of products.
4. Job Requirements
Education:
Completed secondary level education required. Bachelor’s degree in health sciences preferably in public health, Midwifery/Nursing or social sciences desirable.

Knowledge and Experience:
7 years of relevant experience in project management and coordination within public or private sector.
Significant experience partnering or working with a variety of partners, including civil society, the government (Ministry of Health preferred), the UN, and international organizations.
Sound understanding of health data and statistics; experience collecting such data for monitoring purposes would be valuable; experience of monitoring and evaluation of humanitarian programs in the health sector Experience with advocacy work, with extra experience with SRH.
Proficiency in current office software applications Values:
Exemplifying integrity
Demonstrating commitment to UNFPA and the UN system
Embracing cultural diversity
Embracing change

Core Competencies:
Achieve results
Being accountable
Developing and applying professional expertise/ business acumen
Thinking analytically and strategically
Working in teams/ managing ourselves and our relationships
Communicating for impact

Functional Skill Set:
Advocacy/ Advancing a policy-oriented agenda
Leveraging the resources of national governments and partners/ building strategic alliances and partnerships
Delivering results-oriented programs
Internal and external communication and advocacy for results mobilization

Languages:
Fluency in English & Arabic.","Diploma, BSc","Public Health, Midwifery, Nursing, Social Sciences, Project Management, Health Data and Statistics, Monitoring and Evaluation, Advocacy, Sexual and Reproductive Health",7 years,"Teamwork, Communication, Integrity, Commitment to UNFPA and the UN system, Cultural Diversity, Embracing change, Accountability, Working in teams/ managing ourselves and our relationships, Communicating for impact","Project Management, Data Analysis, Monitoring and Evaluation, Advocacy, Public Health, Midwifery/Nursing, Social Sciences, Office Software","government and public sector, healthcare",Full-time,in-office
Product Data Analyst,16ae2eff8d6ca11e,365scores,Tel Aviv Jaffa,"Posted
Posted 3 days ago",https://il.indeed.com/viewjob?jk=16ae2eff8d6ca11e,"As a Product Data Analyst in the AI Team at 365Scores, you will play a crucial role in transforming complex data into actionable insights that drive our AI-driven product features. You will collaborate with cross-functional teams to analyze user behavior, develop key performance metrics, and support the continuous improvement of our AI applications. Your work will directly influence product strategies and enhance user experiences for millions of sports fans globally.

Requirements:
Proven experience (3+ years) as a Data Analyst, preferably within a product or technology-focused company.
Proficiency in SQL, Python, R, and data visualization tools such as Tableau or Power BI. Experience with machine learning frameworks is a plus.
Strong analytical and problem-solving skills with a data-driven approach to decision-making.
Excellent verbal and written communication skills, with the ability to translate complex data insights into actionable recommendations for non-technical stakeholders.
High level of accuracy and attention to detail in data analysis and reporting.
Ability to work collaboratively in a cross-functional team environment.
Ability to thrive in a fast-paced, dynamic environment and manage multiple projects simultaneously.
Bachelor’s or Master’s degree in Data Science, Statistics, Computer Science, Engineering, or a related field.

Responsibilities:
Conduct in-depth analysis of large datasets to identify trends, patterns, and insights that support product decisions and strategies.
Develop, track, and maintain key performance indicators (KPIs) to evaluate the effectiveness of AI features and overall user engagement.
Design, implement, and analyze A/B tests to assess the impact of new features and optimizations.
Create and maintain detailed reports and interactive dashboards to communicate findings and monitor product performance.
Work closely with product managers, data scientists, engineers, and other stakeholders to integrate data-driven insights into product development processes.
Conduct user research and usability studies to gather qualitative data, complementing quantitative analysis.
Ensure the accuracy and consistency of data collected from various sources and support data cleaning and preprocessing activities.
Utilize machine learning models and statistical techniques to predict user behavior and identify opportunities for product enhancements.
Maintain clear and comprehensive documentation of methodologies, analyses, and processes to ensure reproducibility and knowledge sharing.","BSc, MSc","Data Science, Machine Learning, Data Analysis, Statistics, Computer Science, Engineering",3 years,"Communication, Teamwork, Problem-solving, Analytical","SQL, Python, R, Tableau, Power BI, Machine Learning frameworks","technology, media and entertainment",Full-time,in-office
