title,description,job_id,company,location,date,link,education,field_of_expertise,minimum_experience,soft_skills,technical_skills,industry,scope_of_position,job_type
BI Analyst,"Who we are:
Syte empowers the world's most innovative retailers in fashion, home decor and jewelry to grow revenues and brand loyalty with superior shopping experiences. Our mission is to redefine product discovery and change the way people shop, forever.
Our patented Visual-AI platform fuels various solutions for retailers including - Camera search, Contextual search, Recommendation engines, Deep tagging suite, In-store solutions, a Marketplace for consumers and more. The company was founded in 2015 and has raised $71M to date.
Now, we're looking for a BI Analyst to join us!
What you'll do:
Play a critical role in transforming raw data into actionable insights that drive strategic decision-making within our organization.
Put a strong emphasis on understanding business needs, organization's KPIs, managing data workflows, and ensuring the reliability of data pipelines.
Work closely with cross-functional teams such as CS, Sales, Product, Management, R&D to gather requirements, analyze data, and communicate findings effectively.
Identify opportunities for leveraging data to improve business processes, drive efficiency, and support strategic initiatives.
Design, develop, and maintain data pipelines to ensure the timely and reliable delivery of data for analysis.
Monitor data pipelines for errors, anomalies, and performance issues, and take proactive measures to address them.
Bridge between business needs and technical requirements (how data is received vs what the BI needs to extract out of it)
Facilitate discussions to gather insights, align objectives, and ensure consensus among stakeholders.

Requirements:

What you’ll need:
Bachelor's degree in Computer Science, Statistics, Mathematics, Economics, or a related field.
+3 years of experience working as a Data Analyst or BI Developer, with a strong track record of delivering actionable insights to drive business value (e-commerce/ tech companies preferred)
Proficiency in SQL for data extraction and manipulation
Extensive control in Python
Proven experience with data modeling: creating and optimizing complex data models in a big data environment using tools such as Rivery & Snowflake
Proficiency in Tableau and experience with advanced Excel functions
Experience analyzing A/B tests (GA or any A/B test tool) - Big advantage
Ability to work independently and collaboratively in a fast-paced environment, with a keen attention to detail and a commitment to quality.
Excellent communication and presentation skills, with the ability to effectively convey technical concepts to non-technical stakeholders.
Excellent English

Work from Home:
Hybrid Model",bf9f9eba5a51d7f5,Syte.ai,"תל אביב -יפו, מחוז תל אביב","Posted
Just posted",https://il.indeed.com/viewjob?jk=bf9f9eba5a51d7f5,"BSc, MSc","Data Analytics, Business Intelligence, Data Modeling, Data Extraction, Data Manipulation",3 years,"Excellent communication and presentation skills, Ability to work independently and collaboratively in a fast-paced environment, with a keen attention to detail and a commitment to quality.","SQL, Python, Rivery, Snowflake, Tableau, Excel","technology, retail",Full-time,Hybrid
Data Analyst - Student,"What We're About
We're an experienced and diverse team focused on solving one of the biggest challenges Chief Information officers and Chief Information Security Officers have - allowing development teams to move fast without compromising on security controls and risk management. we're looking for strong and fun people to join us and take a significant part in shaping our technology, product, and culture.

What You're About
You are a second year computer science/electrical engineering student who is available for 60% part time work. You have strong communication skills, both Hebrew and English. You are passionate about technology and love working in a team. Being a part of an innovative and growing startup company is exactly what you're looking for! Prior experience is great but not required.

What You Will Do
You will explore common code technology frameworks across various programming languages, mostly security oriented.
You will create and maintain a dataset of technologies, frameworks and usages.You will research and define usage detectors for those frameworks and gradually take part in developing those mechanisms.
You will work closely with our data science and engineering teams to see how we show value for our customers.

**please attach a grade sheet**",1ece30d0401e2bf7,Apiiro,"תל אביב -יפו, מחוז תל אביב","Posted
Posted 10 days ago",https://il.indeed.com/viewjob?jk=1ece30d0401e2bf7,Other,"Data Science, Machine Learning",0 years,"Communication, Teamwork",None,technology,Part-time,In-office
Analyst,"At JFrog, we're reinventing DevOps to help the world's greatest companies innovate - and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit, and just all-around great people. Here, if you're willing to do more, your career can take off. And since software plays a central role in everyone's lives, you'll be part of an important mission. Thousands of customers, including 75% of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production - a concept we call ""liquid software."" Wouldn't it be amazing if you could join us in our journey?
JFrog is looking for an Analyst who plays a pivotal role in supporting strategic decision-making, business analysis, and organizational optimization. This position requires exceptional analytical skills, strategic thinking, and the ability to synthesize complex information into actionable insights. You will collaborate closely with cross-functional teams, providing data-driven recommendations to drive business growth and operational efficiency.
As an Analyst in JFrog you will...
Conduct comprehensive analysis of market trends, competitor landscapes, and industry developments to provide insights that inform our CEO's strategic decisions.
Analyze financial statements, performance metrics, and key financial indicators to assess company performance and identify opportunities.
Develop and maintain dashboards and KPIs to monitor business performance across various departments. Provide regular updates to the CEO on key metrics and performance trends.
CEO projects Support: Assist in the planning and monitoring of initiatives and special projects initiated by the CEO office.
Communicate at the highest level effectively, preparing executive-level reports, presentations, and briefing materials for the CEO.
Collaborate flawlessly cross-functionally, interfacing with various departments, including Finance, Operations, Marketing, and Human Resources to gather data, analyze performance, and support strategic initiatives.
To be an Analyst in JFrog you need...
A Bachelor's degree in Business Administration, Finance, Economics, or related field.
4 years' experience in business analysis, and financial analysis (experience with supporting executives is a key advantage).
Strong analytical skills with the ability to interpret complex data and generate actionable insights.
Proficiency in financial modeling, statistical analysis, and data visualization tools.
Excellent communication and presentation skills, with the ability to convey technical or complex information to a wide variety of stakeholders.
A strategic mindset with the ability to think critically and creatively to solve complex problems.
To be detail-oriented to support complex and/or highly confidential information.
The ability to thrive in a fast-paced environment and manage multiple priorities effectively.
Native or expert-level fluency in English both written and verbal.
A high proficiency in SQL, Excel, and BI tools (such as Tableau, etc.) highly desired
If you're passionate about driving strategic growth and making a meaningful impact, we invite you to join our team as an Analyst.",0fda3c6217ee7b68,JFrog,"תל אביב -יפו, מחוז תל אביב","Posted
Just posted",https://il.indeed.com/viewjob?jk=0fda3c6217ee7b68,BSc,"Business Analysis, Financial Analysis",4 years,"Excellent communication and presentation skills, with the ability to convey technical or complex information to a wide variety of stakeholders.","SQL, Excel, BI tools (Tableau, etc.)",technology,Full-time,In-office
Data Analyst,"Octopol is a pioneer company that integrates statistics modules and algorithms with a passion to sports, mainly soccer.
We are looking for a data analyst to join our research department. The data analyst function will support several stakeholders in Octopol.
Working with the research team and be the one to look and understand the bigger picture.
Learning the data gathering mechanism.
Face and solve business problems by analyzing data and provide insights to the business, covering a range of topics.
Develop complex logic flows to identify predefined events and generate desired insights.
Support the researchers on their projects.
Responsible for conducting both recurring and ad hoc analysis for business stake holders.
Research and integrate new tools and methods to enrich datasets.

Requirements:

Requirements
+2 years of experience as Data Analyst.
High hands-on SQL skills (SQL server)
programming skills (R or Python).
knowledge in statistics.

Added bonuses if you have:
interest in FinTech, Algo Trading – a big advantage.
interest in sports (soccer in particular)",fa3a0067782082f4,Octopol,"רעננה, מחוז המרכז","Posted
Posted 30+ days ago",https://il.indeed.com/viewjob?jk=fa3a0067782082f4,Other,"Data Analysis, Statistics",2 years,None,"SQL (SQL Server), R or Python",technology,Full-time,In-office
Data Analyst,"We are Outbrain.

We’re one of the world’s largest content recommendation platforms, delighting audiences with engaging, personalized content recommendations while serving as the primary engagement partner and platform for the world’s top digital media companies.
We are seeking a highly motivated and detail-oriented Data Analyst to join our team. The Data Analyst will be responsible for collecting, organizing, and analyzing datasets to provide valuable insights and support data-driven decision-making across the organization. The ideal candidate will have a strong background in statistics, data visualization, and programming languages. They should also possess excellent communication skills and the ability to present complex data findings in a clear and concise manner.

A day in the life
Collect and clean datasets from various sources.
Analyze data to identify trends, patterns, and correlations.
Develop and maintain data models and dashboards to track key performance metrics.
Collaborate with cross-functional teams to understand data requirements and provide analytical support.
Present findings and insights to stakeholders through reports, presentations, and visualizations.
Identify opportunities for process improvement and automation to enhance data quality and efficiency.
Stay up-to-date with industry trends and best practices in data analysis and visualization.

What you’ll bring
Bachelor's degree in Computer Science, Statistics, Mathematics, or a related field.
Proven experience working with large datasets and conducting quantitative analysis.
Proficiency in SQL and one or more programming languages such as Python, R, or Java.
Experience with data visualization tools such as Tableau, Power BI, etc.
Strong analytical and problem-solving skills with a keen attention to detail.
Excellent communication and interpersonal skills.
Ability to work independently and collaboratively in a fast-paced environment.
Experience with machine learning techniques is a plus.

More than snacks!
Nearby parking place is available
Short walking distance from Sapir train station
Expand your toolbox with our mentorship program and internal learning tools
Dog friendly office
Follow your passions, visit the music and game rooms
…and of course a fully stocked kitchen!

We Recommend #LifeAtOutbrain
Outbrain is an equal employment opportunity employer and committed to diversity and inclusion at all stages of recruitment and employment.
Our company culture is welcoming, dynamic, diverse, global, and built on top performance.
Did you know ""trust"" is one of our core values? We apply this value to our day-to-day by working collaboratively on a global scale. With managers and teammates often sitting in other countries and time zones, we value communication, patience, and open-mindedness to all cultural backgrounds. We encourage all ideas, and everyone gets a seat at the table!
Our team is made up of individuals who are approachable, resourceful, passionate, and proactive. We foster a sense of belonging through our Employee Resource Groups –employee-led groups in which we debate topics and drive change. From OB Green (environmental), OB WE (women empowerment), OB Good (charitable initiatives) to OB4E (diversity, equity, and inclusion), you’ll be able to share your passions with likeminded people.
Dive into the Outbrain experience via our Instagram account!
Hungry for more? Have a closer look at #LifeAtOutbrain exploring our company manifesto, Youtube channel , Outbrain Culture blog and social media channels Facebook, Instagram and LinkedIn.",16d57953c5b9add9,Outbrain Inc.,"נתניה, מחוז המרכז","Posted
Posted 30+ days ago",https://il.indeed.com/viewjob?jk=16d57953c5b9add9,"BSc, MSc","Data Analysis, Statistics",3 years,"Communication, Teamwork, Attention to detail, Problem-solving","SQL, Python, R, Java, Tableau, Power BI",technology,Full-time,Hybrid
Data Analyst,"Octopol is a pioneering company that integrates statistics modules and algorithms with a passion to sports, mainly soccer.
We are looking for a data analyst to join our research department. The data analyst function will support several stakeholders in Octopol.
Working with the research team and be the one to look and understand the bigger picture.
Learning the data gathering mechanism.
Face and solve business problems by analyzing data and provide insights to the business, covering a range of topics.
Develop complex logic flows to identify predefined events and generate desired insights.
Support the researchers on their projects.
Responsible for conducting both recurring and ad hoc analysis for business stake holders.
Research and integrate new tools and methods to enrich datasets.

Requirements
+2 years of experience as a Data Analyst.
High hands-on SQL skills (SQL server)
programming skills (R or Python).
knowledge in statistics.
Added bonuses if you have:
interest in FinTech, Algo Trading – a big advantage.
interest in sports (soccer in particular)",2d8b17242fe13ac5,my team,"רעננה, מחוז המרכז","Employer
Active 3 days ago",https://il.indeed.com/viewjob?jk=2d8b17242fe13ac5,Other,Data Science,2 years,None,"SQL (required), R / Python (required), Statistics",technology,Full-time,In-office
Data Analyst - Student Position,"We create a safe space for communities to thrive.
OpenWeb's mission is to improve the quality of conversations online, building a healthier web where content creators of all kinds are empowered to thrive. As a product company, OpenWeb partners with publishers and brands to build strong, direct relationships with their audiences.
OpenWeb's technology empowers its partners to build vibrant communities rooted in healthy conversations and robust social experiences. OpenWeb works with more than 1,000 top-tier publishers, hosting more than 100 million active users each month.
Founded in 2015, OpenWeb has more than 300 employees in New York City, Tel Aviv, Kyiv, San Diego, Canada, London, and Paris and is backed by world-class investors, including Georgian, Insight Partners, Entrée Capital, The New York Times, Samsung Next, Dentsu, and ScaleUp. To date, the company has raised $393 million in funding and is currently valued at $1.5 billion.
To learn more about OpenWeb's platform, visit OpenWeb.com, or follow @OpenWebHQ on LinkedIn and Twitter.

What You'll Do:
Data Collection and Cleansing: Assist in collecting and extracting data from various sources, ensuring data accuracy and completeness. Collaborate with team members to clean and preprocess the data.
Data Analysis: Conduct basic data analysis tasks such as summarizing data, identifying trends, and performing descriptive statistics. Support the development of data models and analytical tools.
Data Visualization: Assist in creating data visualizations, graphs, and charts to communicate insights effectively.
Collaboration: Collaborate with cross-functional teams to understand data requirements and objectives. Communicate analysis findings in a clear and concise manner to team members.
Learning and Growth: Learn and stay updated with data analysis best practices and tools. Actively participate in training sessions and seek opportunities to expand your data analysis skills.
Documentation: Maintain documentation related to data sources, analysis processes, and findings.
You will report to the Data Analytics Team Lead

What You'll Bring:
Student for Industrial Engineering and Management, Data Science, Statistics, Mathematics, or a closely related discipline from a university or known College (with at least 12 months left to graduation) - a must
Basic knowledge of data manipulation and analysis tools, such as SQL, and Excel.
Availability for 2-3 working days a week – a must (flexible during the testing period)
Strong analytical mindset and problem-solving skills.
Detail-oriented nature with a focus on data accuracy.
Effective communication skills.
Eagerness to learn and adapt to new data analysis techniques.
Ability to work collaboratively in a team.
Please add your grade sheet - A must

The OpenWeb Culture
We offer a dynamic and unconventional work environment that spans from NYC to London, France, Kyiv, and Tel Aviv, bringing together a diverse group of world-class and high-caliber techies, wordsmiths, entrepreneurs, and creative thinkers. We empower every individual across our global team to be a catalyst for change and strive to create a work environment where you can have the utmost autonomy over your role and projects from start to finish. If you want to join an innovative tech company where you can challenge yourself, have the freedom to own your work, and make a lasting impact, then you have a spot within our growing community!
OpenWeb is committed to building diverse teams and upholding an equal employment workplace that is free from discrimination. We hire amazing individuals regardless of their race, color, ancestry, religion, sex, gender identity, national origin, sexual orientation, age, citizenship, marital status, pregnancy, medical conditions, genetic information, disability, or Veteran status.
Build your skills with us as you build a better web for everyone. Join us!
Also, we care about your privacy! Please take a moment to review OpenWeb's Privacy Practices.",a28c664a02fdb074,OpenWeb,"תל אביב -יפו, מחוז תל אביב","Posted
Posted 18 days ago",https://il.indeed.com/viewjob?jk=a28c664a02fdb074,BSc,Data Science,0 years,"Effective communication skills, Ability to work collaboratively in a team",None,technology,Part-time,Remote
Data Analyst,"You’re invited to Join Beach Bum, the greatest gaming family that brings a new twist to classic games by introducing them to the world of online casual games.

Responsibilities
Use the most advanced analytics and data mining techniques in the place where data, product and monetization meet:· Be the data and analytical lead on all kinds of projects, while working closely with Product & CRM teams.
Extract and analyze large and multi-dimensional datasets in gaming environment using a variety of BI tools.
Design, execute, measure and optimize the core business models.
Develop and run quantitative analysis, reports and more with the end goal of supporting our monetization efforts.
Identify business gaps and suggest solutions to impact the business KPIs.
Requirements
2 Years’ experience as Business analyst· Very strong analytical capabilities
Fully proficient in SQL – must
Strong Excel skills – must
Experience with Tableau – advantage
Build automated dashboards and reports to facilitate company-wide awareness and understanding of key business metrics and players’ experience",1cf4acd9493b2eba,Beach Bum,"רעננה, מחוז המרכז","Posted
Posted 30+ days ago",https://il.indeed.com/viewjob?jk=1cf4acd9493b2eba,Other,"Data Analysis, Business Intelligence",2 years,None,"SQL, Excel, Tableau",technology,Full-time,"Remote, Hybrid"
